,pc_1,pc_2,pc_3,target,size,name,color,
0,38.78022422,-64.52892733,17.61310215,1,0.16,1,"'rgb(44, 186, 0)'",
1,-0.12327814,-10.63502624,-9.381316613,2,0.15,2,"'rgb(44, 186, 0)'",
2,-4.765311067,4.22167445,0.882471398,3,0.63,3,"'rgb(44, 186, 0)'",
3,0.340400819,-7.389664397,-8.508581918,4,0.32,4,"'rgb(163, 255, 0)'",
4,3.974216744,-20.83848021,-18.41497071,5,0.04,5,"'rgb(163, 255, 0)'",
5,6.307071418,-23.39199458,-16.18759108,6,0.04,6,"'rgb(255, 244, 0)'",
6,24.40957779,-53.66242279,-7.028086463,7,0.12,7,"'rgb(255, 244, 0)'",
7,13.43940609,-38.27806586,-19.31968017,8,0.24,8,"'rgb(255, 167, 0)'",
8,8.282706958,-30.68836234,-22.71382696,9,0.04,9,"'rgb(255, 244, 0)'",
9,19.90828679,-48.22684125,-13.67594887,10,0.04,10,"'rgb(255, 167, 0)'",
10,55.34357057,-64.58829159,46.63423897,11,0.04,11,"'rgb(255, 167, 0)'",
11,165.2472015,73.54246158,-20.01961548,12,0.04,12,"'rgb(255, 0, 0)'",
12,161.2181267,70.65990644,-10.13619738,13,0.04,13,"'rgb(255, 0, 0)'",
13,129.4757176,35.90321197,21.94461644,14,0.04,14,"'rgb(255, 167, 0)'",
